dataset,original_feature_index,feature_index,p_x1_y0,p_x1_y1,diff,abs_diff
CHEMBL230,216,59,0.15789473684210525,0.5614035087719298,0.40350877192982454,0.40350877192982454
CHEMBL230,221,64,0.15789473684210525,0.5614035087719298,0.40350877192982454,0.40350877192982454
CHEMBL230,281,124,0.4152046783625731,0.7660818713450293,0.3508771929824562,0.3508771929824562
CHEMBL230,230,73,0.16374269005847952,0.5029239766081871,0.3391812865497076,0.3391812865497076
CHEMBL230,215,58,0.15204678362573099,0.4853801169590643,0.3333333333333333,0.3333333333333333
CHEMBL230,218,61,0.15204678362573099,0.4853801169590643,0.3333333333333333,0.3333333333333333
CHEMBL230,238,81,0.28654970760233917,0.6198830409356725,0.3333333333333333,0.3333333333333333
CHEMBL230,208,51,0.14035087719298245,0.47368421052631576,0.3333333333333333,0.3333333333333333
CHEMBL230,212,55,0.15204678362573099,0.47953216374269003,0.32748538011695905,0.32748538011695905
CHEMBL261,230,73,0.1686746987951807,0.891566265060241,0.7228915662650602,0.7228915662650602
CHEMBL261,190,33,0.14457831325301204,0.8554216867469879,0.7108433734939759,0.7108433734939759
CHEMBL261,215,58,0.16265060240963855,0.8554216867469879,0.6927710843373494,0.6927710843373494
CHEMBL261,224,67,0.16265060240963855,0.8554216867469879,0.6927710843373494,0.6927710843373494
CHEMBL261,216,59,0.14457831325301204,0.8373493975903614,0.6927710843373494,0.6927710843373494
CHEMBL261,218,61,0.16265060240963855,0.8554216867469879,0.6927710843373494,0.6927710843373494
CHEMBL261,217,60,0.16265060240963855,0.8554216867469879,0.6927710843373494,0.6927710843373494
CHEMBL261,212,55,0.16265060240963855,0.8554216867469879,0.6927710843373494,0.6927710843373494
CHEMBL261,221,64,0.1566265060240964,0.8433734939759037,0.6867469879518073,0.6867469879518073
CHEMBL261,189,32,0.14457831325301204,0.8253012048192772,0.6807228915662651,0.6807228915662651
CHEMBL2973,219,62,0.5,0.7631578947368421,0.26315789473684215,0.26315789473684215
CHEMBL2973,287,130,0.3026315789473684,0.039473684210526314,-0.2631578947368421,0.2631578947368421
CHEMBL2973,237,80,0.5526315789473685,0.8026315789473685,0.25,0.25
CHEMBL2973,288,131,0.5394736842105263,0.7894736842105263,0.25,0.25
CHEMBL2973,239,82,0.2631578947368421,0.5,0.2368421052631579,0.2368421052631579
CHEMBL2973,259,102,0.27631578947368424,0.039473684210526314,-0.2368421052631579,0.2368421052631579
CHEMBL2973,267,110,0.618421052631579,0.8552631578947368,0.23684210526315785,0.23684210526315785
CHEMBL2973,257,100,0.631578947368421,0.8552631578947368,0.22368421052631582,0.22368421052631582
CHEMBL2973,247,90,0.35526315789473684,0.5789473684210527,0.22368421052631582,0.22368421052631582
